# 1366 inputs. Regenerate with: go test -run TestCorpusGolden -corpus-update
# input	result	instant (UTC)	offset	format	ambiguous	kind
"0000-001"	ok	0000-01-01T00:00:00.000000000Z	+00:00	ISO_ORDINAL	ambiguous=false	kind=absolute
"0000-01-01T00:00:00+24:00"	nomatch
"0000-01-01T0:00:00+00:00"	nomatch
"0000.01.01 "	ok	0000-01-01T00:00:00.000000000Z	+00:00	ISO8601_DATE	ambiguous=false	kind=absolute
"0000.01.01 00:00:00+00"	ok	0000-01-01T00:00:00.000000000Z	+00:00	SQL_DATETIME_TZ_SHORT	ambiguous=false	kind=absolute
"0000.01.01 00:00:00+01"	ok	-0001-12-31T23:00:00.000000000Z	+01:00	SQL_DATETIME_TZ_SHORT	ambiguous=false	kind=absolute
"0000.01.01 00:00:60"	nomatch
"0000000000"	ok	1970-01-01T00:00:00.000000000Z	+00:00	UNIX_TIMESTAMP	ambiguous=false	kind=absolute
"00000101"	ok	0000-01-01T00:00:00.000000000Z	+00:00	COMPACT_DATE	ambiguous=false	kind=absolute
"0001-01-01"	ok	0001-01-01T00:00:00.000000000Z	+00:00	ISO8601_DATE	ambiguous=false	kind=absolute
"00:00:00"	ok	2024-01-01T00:00:00.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
"00:00:00/000"	ok	2024-01-01T00:00:00.000000000Z	+00:00	TIME_HMS_FRAC3	ambiguous=false	kind=absolute
"00:00:00/010"	ok	2024-01-01T00:00:00.010000000Z	+00:00	TIME_HMS_FRAC3	ambiguous=false	kind=absolute
"00:08"	ok	2024-01-01T00:08:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"00:23"	ok	2024-01-01T00:23:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"00:27"	ok	2024-01-01T00:27:00.000000000Z	+00:00	TIME_HM	ambiguous=false	kind=absolute
"00:48:39"	ok	2024-01-01T00:48:39.000000000Z	+00:00	TIME_HMS	ambiguous=false	kind=absolute
